,author
298,GoltigoreArashishak
299,FolasMogrel
300,GamiBalladolune
301,AurilakSaijurus
302,DainosAndromaswyn
303,BlackstaffCordazar
304,NikinosTygranius
305,NiramarSaithithis
306,GriborSasho
307,MiranadarAnardana
308,UmluneYolar
309,VozilkreeStonebreak
310,MagedwellerMaloriel
311,BusidaHuginadar
312,DugisSabermaster
313,BuVoodoogul
314,AgathrisRockweaver
315,DuzshuraMorlurn
316,StarsmithPurefang
317,PezarMadal
318,GholbisiusAdrieginn
319,PerilasMawield
320,NaraWhitehunter
321,PeridwynSaithilis
322,FauraBugas
323,AnayaronAdorarin
324,MekreeKeswyn
325,BlackraySinshaper
326,DabeiSharpdefender
327,GoldskinKelmaran
328,KajihnGavinn
329,SindwellerKerarne
330,AgafynFefym
331,BallariFelorus
332,MoranShadowdragon
333,DalasMorlubandis
334,RunebourneMavetus
335,JothisMokus
336,MezilrajasRainconju
337,DawnfistKirirdana
338,JutAkinolar
339,MakinosMazugis
340,DoginnSirarim
341,NalkreeKadwyn
342,LajurusOghmagamand
343,BearadGakus
344,PerilisMezisida
345,FordrehuginnNilarga
346,GoltirrNuadaswyn
347,SaberwoodMikakazahn
348,TernCoidar
349,IanrisFordrebor
350,KelePerdin
351,BallargasFenribar
352,ArijurusRunesmasher
353,SaitiusGrilen
354,BurilNuadadred
355,MoogumuroGalrajas
356,NalmeathFordreril
357,SaithihelmDathris
358,DoomseekerDakelv
359,MoogukoraDugore
360,BuzathisWhitebrew
361,NiNizahn
362,OpindisCordafyn
363,MutaxeDorinrad
364,MalatiusJokus
365,MalmaranBurilbine
366,NaziusTujora
367,ShalilsaVor
368,CererneGardasar
369,AriloreKesida
370,ConjularAdolore
371,TaukoraBrakus
372,ThordanaLaigelv
373,MavergasTholak
374,SardredWhiteblade
375,SiramandThordirgas
376,NalisShaktimi
377,KazraktilarBluebear
378,ShaktisidaMoogum
379,SteelbrewGavirad
380,MolarMavellador
381,AriginnKerin
382,GranadarPenrad
383,BuzalisFern
384,DofymArcaneredeemer
385,PezanArigrinn
386,NuadagarKelenadar
387,KigashicageTegas
388,ThunderwalkerAurida
389,SanadarDagdara
390,ShalirusDoomcliff
391,AuririBeagrinn
392,BuzagasVinris
393,AdoswynShakam
394,YotilarMaramar
395,SamukazahnThunderfu
396,AkinorgWhisperforge
397,GraveleyeGardana
398,BakTygralore
399,ShalimathKekelv
400,KajoraDelalas
401,KejindMoogucage
402,ArashiraMirantrius
403,ThordibandisCentrin
404,IronhammerGholbithr
405,BoathDoushakar
406,DianarneFelhandis
407,DianafymMeztira
408,UmgraDoomcaster
409,GralladorTojall
410,SinbinderMezikasa
411,ThunderbreakerTuram
412,IshnnayaKendis
413,MorinBandikelv
414,ZurFergas
415,BragulBuzagda
416,ManarinDorizar
417,NarrTauzuru
418,TygotDorifyn
419,MadiIanlace
420,BuzariusCowield
421,BeazarStoneflame
422,WhitebrewOghmalore
423,MarinradMorlundis
424,DalsaGholbilis
425,ShalinadarForcegrov
426,MagulZolodal
427,JuzshuraDusho
428,AnagasAdorann
429,SatiusKathrilar
430,MolabarThetalis
431,KeleginnGa
432,MenosMerg
433,MaurisarKiri
434,IanniusFaurr
435,KelelarArindis
436,MebeiManadwyn
437,BlackbreakerDalalsa
438,BaloreDarne
439,NakazahnDogul
440,BurikusVogar
441,DogarSaithigamand
442,TruesingerYggbandis
443,GoltijinPurepick
444,DoridorMalanrad
445,VishoSardred
446,BlackfangSinbeard
447,GujarBuzarius
448,BalabarTruesinger
449,BroadsongKegar
450,SamularMavelas
451,AnayawynIansida
452,YozshulkreeKathriwi
453,DiananradKula
454,ButhrisNecage
455,GrosarGhollador
456,DirehammerTojajin
457,GranradAgazar
458,ZagelvKirilmeena
459,MebarConjulhala
460,DadredGawield
461,ThohuginnDianardred
462,BluerayAkinorn
463,NirdinKazrall
464,KulanadarMazubar
465,NightravenJoJotilar
466,GutilarBlackraven
467,GhosiusAraswyn
468,NitFothris
469,MirandisStoneblade
470,FrostdragonTukus
471,FlamebringerRockdwe
472,GaluneManis
473,ModinadarKamuro
474,KigaleLaidred
475,KigajoraTruemaster
476,KedarGavirne
477,PeriBeamath
478,WindscarThetarim
479,MalazelHellwarden
480,FlamesmasherMalordr
481,ThunderconjurorDark
482,DaranBlueworker
483,KerameenaShalimath
484,AnarardredStonebran
485,FrostshadeMozil
486,ArashirAgarin
487,ThorgalarKalar
488,KargBeazeswyn
489,OghmalarDoomray
490,ThontriusMaulkis
491,GornSham
492,NikomuroCeris
493,IronwormGrirdana
494,VojinThordithis
495,GamathTura
496,SpellhunterGaktilar
497,MneborFlamemaster
498,SilverdefenderNuada
499,MalasarCordanius
500,AndromaziusShakalar
501,YggwieldKagakree
502,YozshusidaMujora
503,MuthYole
504,KagazuruMarin
505,JumuroFlameweaver
506,MajindSirahuginn
507,HuginnShantrius
508,NightbreakerCefym
509,IroneyeManagar
510,NikokazahnSpellston
511,DarkbreakerBeazenar
512,RagescarTejin
513,StarredeemerFlamebr
514,AuriborSternworker
515,ConjuDrelatius
516,DagdalisStoneweaver
517,MoonwardenAdrierdin
518,KigagorZujin
519,DailarKezshura
520,DianatusSharpcliff
521,SaberwardenBabandis
522,BalladothisBragami
523,KillTygoll
524,MaveghmaSamurg
525,MosidaBlacksinger
526,BagraMolar
527,TegrelKajilkree
528,KillThowield
529,AdorariusBrightflam
530,SwordfistBraktilar
531,KaziktilarYokus
532,MirnSairne
533,MaririelNila
534,KeramarKemand
535,ArashigrelVudolmara
536,LamathConjurdin
537,GozshuraTagrel
538,MuzilDoritius
539,CewieldGranius
540,CordaKat
541,MoshicageCentrirdre
542,TauzragoreAndrolune
543,AndromajurusDianage
544,FlamebinderFelhadre
545,GoldenwoodAnayawiel
546,PainforgeKigagis
547,DoutaxeDijora
548,FelhardredLandabor
549,KagataxeDala
550,OpintriusMalador
551,GoltirnAdrie
552,GraniziusAndromaghm
553,VuzilHuwyn
554,MunirielDawnsmith
555,MadiTor
556,MashuraManalmeena
557,KakelvGror
558,DarisFelar
559,TetaurTashura
560,BroadbrandStoneweav
561,KirnGavinrasida
562,ArisidaFaekasa
563,BlackwardenVudozil
564,AurinisNuadardred
565,GardalmaranMelkis
566,AdoralanimBlackpick
567,KazratBeazenn
568,TygralasModidred
569,BuriAnage
570,MoogugorAkinotaxe
571,GriraAgabor
572,NiladredMajar
573,GrinayaMunilanim
574,BumeenaJulrajas
575,MumiMikagis
576,BeazegdaAgaril
577,BloodshadeMoonweave
578,JusarCoginn
579,MetilarMavenadar
580,DogisVogrel
581,NightwindLagar
582,KazragoreMale
583,AnaraninMagar
584,DagdaranaAkilmaran
585,ShakalrajasTholsa
586,WhitebringerTewyn
587,KagazshuraDoulrajas
588,KagorJuhn
589,AuridredDarad
590,VisarColace
591,RainsongTojarn
592,SteelfontKeleris
593,ZukazahnAurifym
594,LandadorJoJora
595,StonewoodCoirus
596,SiralhalaYojin
597,SinweaverMordred
598,AurigeAnarin
599,KiriTygramath
600,ArajinTaukazahn
601,MalarAdosius
602,ShaktilkisTumuro
603,YorgConjunara
604,JoJolarKathrimand
605,paulgrapes
606,rapitangnyy
607,artautumn
608,dipperhummer
609,Ten_GOP
610,ny_black_protest
611,andy1235
612,magaing4trump
613,gogomrbrown
614,MatEvidence
615,lilstoner
616,jenn_abrams
617,leecory
618,georgeschultz
619,KularimGaviril
620,miajones005
621,rblackie
622,hollymolly2015
623,lydia_rodarte-quayle
624,Motlalepule
625,Motlalent
626,Bugemlon
627,Amohelang
628,Eliot_Aiden
629,Tyrone_Marion
630,Jaden_Corey
631,Aiden_Chuck
632,Tristen_Sadler
633,LorrySn
634,deren777
635,sarah_sanchez
636,julesbrandy
637,HelenaFreiy
638,smarteagles
639,geoffreych
640,MarkHudson89
641,FuUNCake
642,tebepizdec
643,rebekahbennet
644,hcaner
645,bilberrypie
646,vsbeats
647,fergensonk
648,illlolyourtexass
649,astridrooo
650,lunacyfreak
651,cre-ker
652,valyaspb
653,joewellbenson
654,ivanlox255
655,huyolzovatel
656,pizdectest
657,kozloshlyap
658,picnicshirt
659,issastunna
660,stendupp
661,stenlies
662,failkate
663,smoliangirl
664,mironon
665,traceyjohnson
666,stephenbag
667,bennylewis
668,susanpeterson
669,madpood
670,amazingbodilyfluids
671,qkempek
672,sandlerwow
673,BleepThePolice
674,merlinperegrin
675,Albert_Baldwin
676,Tayler_Cletis
677,vsrruslan
678,ser005
679,YggkelvZurn
680,KazishuraTerne
681,baconlover8
682,SouthLoneStar
683,Lepolesa
684,moluleloa
685,YggwynZulkigul
686,vsruslan
687,Kutloisiso
688,Hararnir
689,georgepharell
690,kuabrush
691,mikeehrmantraut55
692,salamanca_tuco
693,WileandraMalhala
694,RobbKR
695,ThorgalenGozil
696,wolfen01
697,jessepinkman1984
698,letlotlow
699,solodoto666
700,saulgoodman1978
701,Mamigon
702,TakeMyEnerGG
703,ZuluraGolar
704,anime_stan
705,khotsofalan
706,Ezra_Jimmie
707,QuenceynnTejora
708,IronhammerConjukelv
709,trollsofficial
710,fring-gus
711,truckshark
712,FezilGavinn
713,AdoraronDoomworker
714,ZolosidaSpellsinger
715,KahuginnCerenadar
716,YokouJJ
717,VuranThordilore
718,Brenden_Kevyn
719,LandageKador
720,BrahnVilar
721,GaranaTobar
722,YggdorKakree
723,graulli
724,Heirlow
725,FordreranaCordagda
726,randomipad
727,SailakSamura
728,smollow
729,socketwom
730,foxmeowlder
731,CeriusTojajar
732,ModitiusOpirius
733,mohato
734,Abena_Tau
735,GranilisDogul
736,BloodwoodArashizrag
737,crownalbum
738,DaytonayenMoranaya
739,CewieldZuluhn
740,Taulou
741,VoodoogamiAurilak
742,HaroldGarold
743,OghmagelvFedora
744,davscolf
745,LightshadeGardakino
746,TetaurDafyn
747,HoodieLoodie
748,walterwhite1962
749,Derek_Daniel
750,KagrelMauran
751,NilarilOpirim
752,DrelathrisBo
753,SalmaranLaihuginn
754,mr_clampin
755,VanecedwaShadowsmith
756,SadCitizen2016
757,seatfaith
758,AgaluneMalordred
759,MeepoPeep
760,KakreeTabar
761,thistleescape
762,Garry_Gregg
763,WilliananLandalsa
764,germagamo
765,inkreindeer
766,TojasidaSamukree
767,hank-schrade
768,IshnranaAnayagrinn
769,aubrey_harper
770,ModitiusFaetaur
771,GushicageAgamadi
772,NuaborShaktikasa
773,garliccomet
774,jerrhill
775,moonreading
776,MalojurusMutus
777,Riley_Gerrard
778,AralisTugis
779,FreddieGi
780,CogelvWhitebinder
781,VojarAndrorus
782,SharprunnerAndrolas
783,winthrop_clancy
784,emilyli
785,BagoreZulkihn
786,muslimzebra
787,DorothieBell
788,Orville_Willy
789,wadeharriot
790,KatusPenadar
791,KulazelKelkree
792,1488Reasons
793,TojatMalaron
794,dreamsquadd
795,DalabandisAndroma
796,cakes689
797,Zach_Bristol
798,riversailor
799,SteelfangMogamand
800,bottlehope
801,Gilbert_Preston
802,harperdaveharper
803,chriscrossfire
804,GavinayaBeazefym
805,Paolosi
806,SnorrySturluson
807,GoldenbringerTogore
808,NalenTaugami
809,MoonMoon8
810,Darcy_Loyd
811,DianarinAdorardred
812,ThorgaghmaLai
813,FerdavynaCentrirus
814,petouchoque
815,AriundisVugar
816,CordaronGavinralbin
817,DelaranaBatius
818,BallardredTholak
819,MalalladorSincliff
820,jojouel
821,violinslipper
822,caterpillarclass
823,AxeseekerMightwind
824,SamugoreKekelv
825,patsy_rudolph
826,DelalbineSilvershad
827,DearDearBear
828,DarusCege
829,RedGov
830,malefane
831,PeriniusDular
832,vudonrismakasa
833,VukazahnGardagis
834,AndromajurusAragrel
835,HityndiDutilar
836,NekoraJoJolar
837,Dazzle6
838,rockanda
839,IronwalkerGardred
840,DelanradAgamadwyn
841,FenrilkreeMolabar
842,BludflameMeztirg
843,researchbeggar
844,toffeetear
845,AndrorneGavinrage
846,TebenelBrazragore
847,DaFordremand
848,SharpwingChillshape
849,Gillian0zero0
850,CererinKarn
851,ZukoraTezil
852,Mponeng
853,MnefymPainmane
854,HellwindShadowbreak
855,richwilcom
856,moratutu
857,DalahelmFelharil
858,paulmall112
859,AgamagelvTozshura
860,tishcol
861,lekgotla
862,xameg
863,PeGobei
864,blackie_jack
865,BurigelvGravelbrew
866,MalasarGholbiris
867,UmthDarkfire
868,Graham_Quinn
869,brondran
870,alex_jonathan
871,sugarshoehorn
872,LeyleynFearlessworm
873,CeginnFonin
874,Heetmean
875,GoltijindGoltishura
876,horseeating
877,Meek_Mitchel
878,hadheart
879,men_like
880,ThordibandisHugimat
881,waeqxd
882,hyddrox
883,CogdaAnayanara
884,brant_s
885,ZamalynodeThothis
886,fginery
887,come-true
888,CereranaKeath
889,chereese
890,TojasHellwarden
891,toffeeathletics
892,laserathletics
893,peter_stevenson1986
894,GavinraraFonara
895,keklelkek
896,ThonisIshnlen
897,ironzion17
898,ThontriusBanos
899,NitaurMaull
900,MananaraGralsa
901,kanyebreeze
902,LalhalaGavinradwyn
903,NualvCordalace
904,gordon_br
905,KiririelCebandis
906,UelitheLandagelv
907,dandy1crown
908,GrisidaColak
909,alice_boginski
910,fungon
911,MiraranaMogra
912,uelithelandagelv
913,FoshantBloodstone
914,BeazerneMem
915,mandeyboy
916,AriutusMokazahn
917,clackie
918,reggaebull
919,AlsagelvBuriron
920,deusexmachina112
921,elsie_c
922,TedarYozshujin
923,toneporter
924,SinmoonYggbandis
925,dopplegun
926,Maineylops
927,Maxwel_Terry
928,DeusXYX
929,MasiusShadowshaper
930,MargasGranidor
931,Peter_Hurst
932,erivmalazilkree
933,King_Andersons
934,BerskyN
935,WhatImDoindHere
936,Kevin_Milner
937,shomyo
938,rubinjer
